navigator,sex,urgent,employment,mentalHealthSupport,medicalCare,lifeSkills,elderly,serviceConnections,reentry,disablity,socialSecurity,housingProgram
lili,1,0,1,0,1,0,1,1,0,1,0,1
lili,1,0,1,1,1,1,0,1,0,1,0,1
lili,1,1,1,1,0,1,0,1,1,0,1,0
lili,1,0,0,1,0,1,0,1,0,1,0,1
lili,1,1,1,0,1,0,1,0,1,0,1,0
lili,1,0,1,0,1,1,0,1,0,1,1,0
lili,1,1,0,1,0,1,0,1,1,0,1,0
lili,1,1,1,0,1,0,1,0,1,1,0,1
lili,1,0,1,1,1,0,1,0,1,0,1,0
lili,1,1,0,1,0,1,1,0,1,0,1,1
lili,1,0,1,0,1,0,1,1,0,1,0,1
lili,1,1,1,0,1,1,0,1,0,1,1,0
lili,1,0,1,1,0,1,0,1,0,1,0,1
lili,1,1,0,1,1,0,1,0,1,0,1,1
lili,1,0,1,0,1,0,1,1,0,1,0,1
lili,0,1,1,0,1,0,1,0,1,1,0,1
lili,1,0,1,1,0,1,1,0,1,0,1,0
lili,0,1,0,1,1,0,1,0,1,1,0,1
lili,1,0,1,0,1,0,1,1,0,1,0,1
lili,0,1,1,0,1,1,0,1,0,1,0,1
lala,0,1,1,1,0,1,0,1,0,0,1,0
lala,1,0,1,0,1,0,1,1,0,1,0,1
lala,0,1,1,0,1,0,1,0,1,0,1,1
lala,1,0,1,1,0,1,0,1,0,1,1,0
lala,0,1,0,1,1,0,1,1,0,1,0,1
lala,1,0,1,0,1,1,0,1,1,0,1,0
lala,0,1,1,0,1,0,1,0,1,0,1,1
lala,1,0,1,1,0,1,0,1,0,1,0,1
lala,0,1,0,1,0,1,1,0,1,0,1,1
lala,1,0,1,0,1,0,1,1,0,1,0,1
lala,0,1,1,0,1,1,0,1,0,1,1,0
lala,1,0,1,1,0,1,0,1,0,1,0,1
lala,0,1,0,1,1,0,1,0,1,0,1,1
lala,1,0,1,0,1,0,1,1,0,1,0,1
lala,0,1,1,0,1,0,1,0,1,1,0,1
lala,1,0,1,1,0,1,1,0,1,0,1,0
lala,0,1,0,1,1,0,1,0,1,0,1,1
lala,1,0,1,0,1,0,1,1,0,1,0,1
lala,0,1,1,0,1,0,1,0,1,1,0,1
lala,1,0,1,1,0,1,0,1,0,1,1,0
judi,1,0,1,0,1,0,1,1,0,1,0,1
judi,0,1,0,1,0,1,1,0,1,0,1,1
judi,1,0,1,0,1,1,0,1,1,0,1,0
judi,0,1,0,1,1,0,1,0,1,0,1,1
judi,1,0,1,0,1,0,1,1,0,1,1,0
judi,0,1,0,1,0,1,1,0,1,1,0,1
judi,1,0,1,1,0,1,0,1,0,1,0,1
judi,0,1,0,1,1,0,1,0,1,0,1,1
judi,1,0,1,0,1,0,1,1,0,1,0,1
judi,0,1,0,1,0,1,1,0,1,0,1,1
judi,1,0,1,0,1,1,0,1,1,0,1,0
judi,0,1,0,1,1,0,1,0,1,0,1,1
judi,1,0,1,0,1,0,1,1,0,1,1,0
judi,0,1,0,1,0,1,1,0,1,1,0,1
judi,1,0,1,1,0,1,0,1,0,1,0,1
judi,0,1,0,1,1,0,1,0,1,0,1,1
judi,1,0,1,0,1,0,1,1,0,1,0,1
judi,0,1,0,1,0,1,1,0,1,0,1,1
judi,1,0,1,0,1,1,0,1,1,0,1,0
judi,0,1,0,1,1,0,1,0,1,0,1,1
kera,1,0,1,1,0,1,0,1,0,1,0,1
kera,0,1,0,1,1,0,1,0,1,0,1,0
kera,1,0,1,0,1,1,0,1,0,1,0,1
kera,0,1,0,1,0,1,1,0,1,0,1,0
kera,1,0,1,1,0,1,0,1,0,1,0,1
kera,0,1,0,1,1,0,1,0,1,0,1,0
kera,1,0,1,0,1,1,0,1,0,1,0,1
kera,0,1,0,1,0,1,1,0,1,0,1,0
kera,1,0,1,1,0,1,0,1,0,1,0,1
kera,0,1,0,1,1,0,1,0,1,0,1,0
kera,1,0,1,0,1,1,0,1,0,1,0,1
kera,0,1,0,1,0,1,1,0,1,0,1,0
kera,1,0,1,1,0,1,0,1,0,1,0,1
kera,0,1,0,1,1,0,1,0,1,0,1,0
kera,1,0,1,0,1,1,0,1,0,1,0,1
kera,0,1,0,1,0,1,1,0,1,0,1,0
kera,1,0,1,1,0,1,0,1,0,1,0,1
kera,0,1,0,1,1,0,1,0,1,0,1,0
kera,1,0,1,0,1,1,0,1,0,1,0,1
kera,0,1,0,1,0,1,1,0,1,0,1,0
ella,0,1,0,1,0,1,1,0,1,0,1,0
ella,1,0,1,0,1,0,1,0,1,0,1,1
ella,0,1,0,1,1,0,1,1,0,1,0,1
ella,1,0,1,0,1,1,0,1,0,1,1,0
ella,0,1,0,1,0,1,1,0,1,0,1,1
ella,1,0,1,0,1,0,1,0,1,0,1,0
ella,0,1,0,1,1,0,1,1,0,1,0,1
ella,1,0,1,0,1,1,0,1,0,1,1,0
ella,0,1,0,1,0,1,1,0,1,0,1,1
ella,1,0,1,0,1,0,1,0,1,0,1,0
ella,0,1,0,1,1,0,1,1,0,1,0,1
ella,1,0,1,0,1,1,0,1,0,1,1,0
ella,0,1,0,1,0,1,1,0,1,0,1,1
ella,1,0,1,0,1,0,1,0,1,0,1,0
ella,0,1,0,1,1,0,1,1,0,1,0,1
ella,1,0,1,0,1,1,0,1,0,1,1,0
ella,0,1,0,1,0,1,1,0,1,0,1,1
ella,1,0,1,0,1,0,1,0,1,0,1,0
ella,0,1,0,1,1,0,1,1,0,1,0,1
ella,1,0,1,0,1,1,0,1,0,1,1,0
